ram,weight,price,touch,intel_cpu,cpu_range_high,cpu_range_mid,storage,ssd,hdd,hybrid,flash,hdd_ssd,chrome,linux,macx,win10,win10_s,win7,mac_os,pixels,gpu_rank,acer,apple,asus,chuwi,dell,fujitsu,google,hp,huawei,lg,lenovo,msi,mediacom,microsoft,razer,toshiba,vero,xiaomi,2_in_1,gaming,notebook,ultrabook,workstation
8,1.86,30636.0,0,1,0,1,256,1,0,0,0,0,0,0,0,0,0,0,0,2073600,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,2.04,114017.6,0,1,1,0,256,0,0,0,1,0,0,0,1,0,0,0,0,5184000,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,1.48,67559.04,0,1,0,1,256,1,0,0,0,0,0,0,0,1,0,0,0,2073600,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,1.43,80612.64,0,1,0,1,256,1,0,0,0,0,0,0,0,0,0,1,0,2073600,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,1.89,13261.39,0,1,0,0,64,0,0,0,1,0,0,0,0,1,0,0,0,2073600,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,2.62,52480.8,0,1,1,0,256,1,0,0,0,0,0,0,0,1,0,0,0,2073600,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,2.37,21258.19,0,1,0,1,1024,0,1,0,0,0,0,0,0,1,0,0,0,1049088,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,1.2,58341.6,0,1,0,1,256,1,0,0,0,0,0,0,0,1,0,0,0,1049088,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
8,1.88,69157.44,0,1,1,0,512,1,0,0,0,0,0,0,0,1,0,0,0,2073600,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,1.8,44382.77,1,1,0,1,128,1,0,0,0,0,0,0,0,1,0,0,0,2073600,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
8,2.0,113752.8,0,1,1,0,256,1,0,0,0,0,0,0,0,1,0,0,0,2073600,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,1.64,51841.44,0,1,0,1,256,1,0,0,0,0,0,0,0,1,0,0,0,1049088,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,1.2,142790.4,1,1,1,0,512,1,0,0,0,0,0,0,0,1,0,0,0,5760000,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,1.86,22324.32,0,1,0,0,128,1,0,0,0,0,0,0,0,1,0,0,0,1049088,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,1.75,55890.72,0,1,0,1,256,1,0,0,0,0,0,0,0,1,0,0,0,2073600,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
4,2.1,41558.4,0,1,0,1,500,0,1,0,0,0,0,0,0,1,0,0,0,1049088,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
8,2.3,44222.4,0,1,0,1,256,1,0,0,0,0,0,0,0,1,0,0,0,2073600,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
8,1.26,122381.5,0,1,1,0,256,1,0,0,0,0,0,0,0,0,0,1,0,2073600,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,2.02,60867.07,0,1,1,0,2304,1,1,0,0,1,0,0,0,1,0,0,0,2073600,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,2.8,26053.92,0,1,0,1,1024,0,1,0,0,0,0,0,0,1,0,0,0,1440000,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,1.1,14652.0,1,1,0,0,32,0,0,0,1,0,0,0,0,1,0,0,0,1049088,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,1.35,58554.72,0,1,0,1,128,0,0,0,1,0,0,0,1,0,0,0,0,1296000,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,1.86,34045.92,0,1,0,1,1024,0,1,0,0,0,0,0,0,1,0,0,0,2073600,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,2.2,30849.12,0,1,0,1,1024,0,1,0,0,0,0,0,0,1,0,0,0,2073600,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
4,2.8,24828.48,0,1,0,0,1024,0,1,0,0,0,0,0,0,1,0,0,0,1049088,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,1.4,111834.72,1,1,1,0,512,1,0,0,0,0,0,0,0,1,0,0,0,8294400,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
8,1.58,78854.4,0,1,1,0,256,1,0,0,0,0,0,0,0,1,0,0,0,2073600,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
4,2.1,26586.72,0,1,0,1,1152,1,1,0,0,1,0,0,0,1,0,0,0,2073600,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,2.43,130482.72,0,1,1,0,2304,1,1,0,0,1,0,0,0,1,0,0,0,2073600,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
6,1.91,30310.99,0,0,0,1,128,1,0,0,0,0,0,0,0,1,0,0,0,2073600,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,2.69,47472.48,0,1,0,1,756,1,1,0,0,1,0,0,0,1,0,0,0,2073600,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,2.1,24029.28,0,0,0,0,256,1,0,0,0,0,0,0,0,1,0,0,0,1049088,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,1.48,111301.92,0,1,1,0,512,1,0,0,0,0,0,0,0,1,0,0,0,2073600,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,2.1,25414.03,0,1,0,1,500,0,1,0,0,0,0,0,0,0,0,0,0,1049088,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,2.8,28717.92,0,1,0,1,1024,0,1,0,0,0,0,0,0,0,0,0,0,1440000,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
8,2.2,50562.72,0,1,1,0,1024,0,1,0,0,0,0,0,0,1,0,0,0,2073600,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,1.32,95850.72,0,1,0,1,256,1,0,0,0,0,0,0,0,1,0,0,0,2073600,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
16,1.29,95850.72,1,1,1,0,512,1,0,0,0,0,0,0,0,1,0,0,0,8294400,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
16,1.47,93985.92,0,1,1,0,512,1,0,0,0,0,0,0,0,1,0,0,0,2073600,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
8,1.84,64948.32,0,1,1,0,256,1,0,0,0,0,0,0,0,1,0,0,0,2073600,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,1.22,101178.72,1,1,1,0,512,1,0,0,0,0,0,0,0,1,0,0,0,5760000,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,2.0,23922.72,0,1,0,0,1024,0,1,0,0,0,0,0,0,1,0,0,0,1049088,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
